count,reg,ven_time,dist,ven_z,ven_rho,ven_phi,new_reg
207,13,93.1820447556683,0.0326436895113365,0.988254,0.159104,-0.17031,14
209,12,125.76840500743576,0.0822244100148715,0.957252,1.0,-1.180165,12
210,13,71.74679659920315,0.0379557931984062,0.991119,1.0,0.255182,15
211,13,115.56423535220544,0.0427452707044108,0.754785,0.412318,-1.232441,12
213,19,104.11400727528758,0.0857762145505751,0.903179,0.0,1.385523,17
215,11,130.57487196549863,0.0983915439309972,0.624608,0.0,-0.786858,19
216,10,126.74312531568047,0.0917616506313609,0.702714,0.354631,-1.112572,12
219,15,114.2718113598944,0.0560304227197887,0.681347,1.0,0.212469,21
221,19,113.32028392613044,0.0610061678522608,0.766396,0.789368,1.177555,17
224,19,129.7472398359863,0.0816182796719726,0.470228,0.761003,1.265986,23
227,13,92.22464107417464,0.0618230821483492,0.898033,0.0,0.153078,15
230,17,108.381373297999,0.062936546595998,0.630237,0.605951,0.156361,21
232,17,88.525265899765,0.08800793179953,0.855782,0.347758,1.548269,17
234,15,73.07895123303976,0.0641537024660795,0.847232,1.0,0.553546,16
236,16,92.84042978255124,0.0654854595651024,0.862017,0.41489,1.006317,17
238,14,112.01509461459796,0.0683051892291959,0.662939,1.0,0.488645,21
241,18,103.90973352889338,0.0497270670577867,0.91947,0.187919,0.914146,16
244,10,118.2892175643787,0.1129644351287574,0.812132,0.700047,-0.666679,13
246,17,89.77629402640382,0.0929975880528076,0.684855,1.0,0.45869,21
248,19,93.69784374051132,0.0809028874810226,0.932715,0.0,0.856225,16
249,15,98.22280407709376,0.0363346081541875,0.989324,0.293836,0.765299,16
251,19,79.41757332331697,0.0348029466466339,0.962673,0.0,0.628049,16
253,18,99.99935477131696,0.0331153095426339,0.957667,0.0,0.35212,15
255,11,110.179829643563,0.0291282592871259,0.910298,0.236646,-1.42499,12
256,17,92.0053069869607,0.0931264139739214,0.820357,0.140226,1.18244,17
258,17,81.83263555238764,0.0521172711047752,0.806836,0.462609,0.464513,15
260,13,101.69188919116807,0.0972109783823362,0.685926,0.568682,-0.876794,19
263,10,125.2126898885456,0.0870589797770912,0.807086,0.211277,-0.940726,13
266,16,99.29590609048893,0.0881868121809778,0.570403,1.0,0.560055,22
267,10,123.18414784737676,0.0536180956947535,0.628161,0.678279,-1.007535,18
272,10,105.12396278132864,0.0411225255626572,0.792407,0.288027,-0.701255,13
273,15,107.67054621664032,0.0706338924332806,0.748377,1.0,0.634896,16
275,13,112.81020532627606,0.0549796106525521,0.631875,0.693521,-0.360264,20
277,14,101.9362326049072,0.1032690652098143,0.823668,1.0,0.319665,15
278,10,130.95388943809508,0.0462817788761901,0.82429,0.84766,-1.17212,12
280,12,120.74391805177224,0.0797476361035444,0.724513,0.726652,-0.457929,14
281,11,156.63712183596013,0.1133158436719202,0.720832,0.0,-0.22868,14
283,18,115.80712547010694,0.0756774509402138,0.776597,0.14422,1.556283,17
